Glass Type,Silicon Dioxide SiO2,Boron Trioxide B2O3,Sodium Oxide Na2O,Aluminium Oxide Al2O3
Borosilicate Glass – % content,80.6,13,4,2.4
Soda Lime Glass – % content,69,1,13,4
