DAY,DEPALLETIZER TO FILLER,FILLER TO CAPPER,CAPPER TO DUD DETECTOR,DUD DETECTOR TO LABELER,LABELER TO TRAYMAKER
DAY 1,18,1759,56,5038,730
DAY 2,64,2542,384,8499,653
DAY 3,19,953,194,6710,103
DAY 4,24,991,253,2116,332
DAY 5,306,2853,114,5533,759
DAY 6,288,1772,89,3752,734
DAY 7,92,82,106,7434,122
