DAY,DEPALLETIZER ,FILLER ,CAPPER,DUD DETECTOR,LABELER ,TRAYMAKER
DAY 1,14728,14710,12951,12895,7857,7127
DAY 2,18464,184000,15858,15474,6975,6322
DAY 3,37347,37328,36375,36181,29471,29368
DAY 4,37452,37428,36437,36184,34068,33736
DAY 5,100423,100117,97264,97036,91503,90744
DAY 6,75997,75709,73937,73848,70096,69362
DAY 7,25476,25384,25302,25196,17762,17640
