DAY,DEPALLETIZER ,FILLER ,CAPPER,DUD DETECTOR,LABELER ,TRAYMAKER
March 16,14728,14710,12951,12895,7857,7127
March 20,18464,184000,15858,15474,6975,6322
March 21,37347,37328,36375,36181,29471,29368
March 22,37452,37428,36437,36184,34068,33736
March 23,100423,100117,97264,97036,91503,90744
March 27,75997,75709,73937,73848,70096,69362
March 28,25476,25384,25302,25196,17762,17640
