LOCATION,March 29,April 3,April 4,April 5,April 6,April 11,April 12
DEPALLETIZER ,122140,136292,135137,146042,1037686,146283,122641
FILLER ,122078,136242,135081,145991,1016153,146207,122583
CAPPER,121863,136162,134894,145092,971138,145956,122387
DUD DETECTOR,112672,126619,133917,143915,926360,137550,112754
LABELER ,102387,125726,132813,143615,925852,136757,112334
TRAYMAKER,91918,124902,130112,143472,923006,135670,110326
