DAY,DEPALLETIZER TO FILLER,FILLER TO CAPPER,CAPPER TO DUD DETECTOR,DUD DETECTOR TO LABELER,LABELER TO TRAYMAKER
FEBUARY 27,2,394,369,4538,180
FEBUARY 28,739,6,19,-7070,5032
March 1,79,2430,4013,-5693,2720
March 2,892,1897,28512,-29711,253
March 6,78,2000,1044,-2510,553
March 7,37,1735,4127,-5728,400
March 8,124,1,-11,86,-84
