Date,Glass Cost %
2021,0.09925427997
2020,0.02583047816
2019,0.01505994379
2018,0.03172760843
2017,0.02213784482
2016,0.02099629259
2015,0.04512158006
2014,0.01722718997
2013,0.01312087264
2012,0.01595757474
2011,0.02258626543
2010,0.002797078149
2009,-0.01718840795
2008,0.05006336578
2007,0.01238372487
2006,0.02131108881
2005,0.01876639598
2004,0.005013009157
