DAY,DEPALLETIZER ,FILLER ,CAPPER,DUD DETECTOR,LABELER ,TRAYMAKER
FEBUARY 27,39167,39165,38771,38402,33864,33684
FEBUARY 28,1990,1251,1245,1226,8296,3264
March 1,140529,140450,138020,134007,139700,136980
March 2,113923,113031,111134,82622,112333,112080
March 6,120721,120643,118643,117599,120109,119556
March 7,120079,120042,118307,114180,119908,119508
March 8,200,76,75,86,0,84
